Name,Expertise,Cluster,Cluster_Theme
Kachanon Nirunpong,"High Energy Particle Physics, Education",29,high energy particle physics | education | ultrafast science
Prof. Dr. Somchai Wongwises,"Areas of interest: Fluid Mechanics, Heat Transfer, Thermodynamics, Two-Phase Flow, Thermal System Design",34,fractional calculus | applied mathematics | fluid dynamics
Poom Kumam,"Fixed Point Optimization, Fractional Differential Equations, Differential Game, Image Processing, Computational Fluid Dynamics (",34,fractional calculus | applied mathematics | fluid dynamics
Shabbir H. Gheewala,"Sustainability, life cycle assessment, energy systems, biofuels",24,life cycle assessment | sustainability | energy systems
jaturapitakkul c,cement pozzolan fly ash biomass ash …,27,biomass conversion | cement pozzolan fly ash biomass ash … | energy technology
Sakamon Devahastin,"Food Engineering, Drying, Food Materials Science, Heat and Mass Transfer",9,food engineering | heat and mass transfer | systems biology
Navadol Laosiripojana,"Energy technology, Biomass processing",27,biomass conversion | cement pozzolan fly ash biomass ash … | energy technology
Narongrit Sombatsompop,Polymeric Materials,19,composites | controlled drug release | polymeric materials
George A. Gale,Conservation Ecology,33,conservation ecology | ecology | animal conservation
Weerachart Tangchirapat,"Civil Engineering, Construction Materials, Concrete Technology",10,geotechnical engineering | numerical methods in geomechanics | ground improvement
Debajyoti Pal,"Digital Humanism, Human Computer Interaction, Human Factors Engineering, Information Systems",1,digital humanism | human computer interaction | human factors engineering
Pornkasem Jongpradist,"Numerical methods in Geomechanics, Ground Improvement, Tunneling and underground construction",10,geotechnical engineering | numerical methods in geomechanics | ground improvement
Supachok Tanpichai,"Nanocellulose, composites, processing, chitosan",19,composites | controlled drug release | polymeric materials
"Kerdchoechuen, Orapin","Bioactive compound, flavor, phenolic, biodegradable",25,organic synthesis | bioactive compound | flavor
Surawut Chuangchote,"Nanomaterials, Solar Energy, Photovoltaic, Photocatalysis",6,nanomaterials | organic chemistry | biosensors
Pakorn Kaewtrakulpong,"Machine Vision, Computer Vision, Machine Learning",37,computer vision | image processing | machine learning
Richard Watson Todd,"Applied linguistics, Text linguistics",26,applied linguistics | corpus linguistics | teacher development
Sebastien Bonnet,"Sustainability, Risk assessment, Energy systems, Biofuels",24,life cycle assessment | sustainability | energy systems
Chan La-o-vorakiat,"Ultrafast Science, Energy Materials, Terahertz",29,high energy particle physics | education | ultrafast science
varit srilaong,Postharvest Technology,15,wireless power transfer | induction heating | postharvest technology
Assoc. Prof. Usa Wannasingha Humphries,Atmospheric and Oceanic Modelling,47,climate change | remote sensing | atmospheric and oceanic modelling
Worapot Suntornsuk,Agricultural and Food Processing Waste …,5,wastewater treatment | agricultural and food processing waste … | anaerobic digestion
WUDHICHAI ASSAWINCHAICHOTE,"Control System and Modeling, Fuzzy Control, AI",8,machine learning | artificial intelligence | robotics
Suree Funilkul,"Database, Technology acceptance",39,database | technology acceptance | high performance computing
Jonathan H. Chan,"data science, machine learning, mathematical modeling",13,machine learning | data science | data mining
Warat Kongkitkul,"Geotechnical Engineering, Geosynthetics, Geotechnical Instrumentation, Physical modeling",10,geotechnical engineering | numerical methods in geomechanics | ground improvement
Pongsak Khunrae,"Xylanase, Prebiotics, Infectious diseases, Vaccine, Protein structure.",32,food microbiology | xylanase | prebiotics
Naruemon Wattanapongsakorn,"Optimization, Data Mining, Reliability Design, Artificial Intelligence, Network Security",8,machine learning | artificial intelligence | robotics
Chaowalit Limmaneevichitr,"Production engineering, Aluminum, metallurgy, solidification, materials science",18,metallurgy | solidification | production engineering
Bundit Fungtammasan,"energy policy, renewable energy, energy efficiency, climate change, nuclear SMR",16,energy policy | renewable energy | energy
Tiranee Achalakul,High Performance Computing,39,database | technology acceptance | high performance computing
Patcharapit Promoppatum,"additive manufacturing, 3d printing, finite element, heat transfer analysis",30,additive manufacturing | 3d printing | heat transfer
Viboon Saetang,"Laser machining, Hybrid machining, Micro/nano manufacturing",30,additive manufacturing | 3d printing | heat transfer
Dusit Ngoprasert,"Conservation ecology, animal conservation, population ecology",33,conservation ecology | ecology | animal conservation
Jaruwan Chontanawat,"Energy and Environmental Economics, Econometrics",16,energy policy | renewable energy | energy
pongphen jitareerat,"Postharvest Pathology, Fresh-cut produce",32,food microbiology | xylanase | prebiotics
Aumnad Phdungsilp,"Energy Systems Analysis and Modeling, Indoor Environmental Quality, Building Performance Simulation",16,energy policy | renewable energy | energy
borworn papasratorn,"Telecommunication, Information Technology Adoption, Strategic Digital Transformation",21,telecommunication | information technology adoption | strategic digital transformation
annop nopharatana,"anaerobic digestion, cleaner production",5,wastewater treatment | agricultural and food processing waste … | anaerobic digestion
Wichian Chutimaskul,"Software Engineering, eGovernment",39,database | technology acceptance | high performance computing
triwit rattanarojpong,Microbiology and Immunology,32,food microbiology | xylanase | prebiotics
Anawach Sangswang,"Power Systems, Power Electronics, Induction Heating, Wireless Power Transfer",15,wireless power transfer | induction heating | postharvest technology
Yossapong Laoonual,E-mobility and Sustainability,22,educational technology | e-mobility and sustainability | learner autonomy
Assoc. Prof. Dr. Nakorn Niamnont,"Organic chemistry, Fluorescent sensor, nanofibers",6,nanomaterials | organic chemistry | biosensors
Ekachai Wimolmala,"Polymer, Composites, Rubber, Testing",19,composites | controlled drug release | polymeric materials
Vajirasak Vanijja,"Multimedia, MOOC, Software Project Management, Computer Graphics",21,telecommunication | information technology adoption | strategic digital transformation
Dolat Khan,"Applied Mathematics, Fluid Dynamics, Neural Networking, Fractional Calculus, Nanofluid",34,fractional calculus | applied mathematics | fluid dynamics
Booncharoen Sirinaovakul,"Optimization Algorithms, Swarm Intelligence",8,machine learning | artificial intelligence | robotics
Kasemsan Manomaiphiboon,"Air Quality, Climate Change, Weather, Ambient Energy, Data Science & Modeling",47,climate change | remote sensing | atmospheric and oceanic modelling
patthra pason,enzyme biology animalscience,40,biochemistry | enzyme biology animalscience | encapsulation
Assoc.Prof.Dr.Chairat Treesubsuntorn,Phytoremediation Adsorption Air pollition Rice,2,phytoremediation adsorption air pollition rice | biodiversity | fungal ecology
Wishsanuruk Wechsatol,"Thermodynamics, Heat Transfer, Microfluidics",34,fractional calculus | applied mathematics | fluid dynamics
Muhammad Waqas,"Agricultural Engineering, Climate Change, Environment, AI models",47,climate change | remote sensing | atmospheric and oceanic modelling
Kriengkrai Porkaew,"Databases, Data Management, Software Design, Computer Science",13,machine learning | data science | data mining
Sirawaj Itthipuripat,"Cognitive Neuroscience, Computational Neuroscience, Machine Learning, Data Science",13,machine learning | data science | data mining
Paripok Phitsuwan,"Lignin, Biomass Conversion, Microbial and Enzyme Technology",27,biomass conversion | cement pozzolan fly ash biomass ash … | energy technology
Dr. Rahat Zarin,"Epidemiological Modeling, Artificial Neural Networks, Disability, Cancer Epidemiology",13,machine learning | data science | data mining
Phond Phunchongharn,"Data Analytics, AI, Deep Learning, Resource allocation",8,machine learning | artificial intelligence | robotics
Teerasak Markpin,"Bibliometrics, Information Science, Material Science",36,material science | materials science | bibliometrics
pornapit darasawang,"learner autonomy, self access centre, learner training",22,educational technology | e-mobility and sustainability | learner autonomy
Asawin Meechai,"Metabolic engineering, Systems biology, Bioprocess engineering",9,food engineering | heat and mass transfer | systems biology
NOPHAWAN PARADEE,"Conductive and Electroactive Polymer, Polymer Material, Hydrogel, Controlled Drug Release",19,composites | controlled drug release | polymeric materials
Dr. Thittaporn Ganokratanaa,"Computer Vision, Image Processing, Machine Learning, Human-computer Interaction",37,computer vision | image processing | machine learning
Alisa Kongthon,"Tech Mining, Text Mining, Sentiment Analysis, Bibliometrics Analysis, Patent Analysis",13,machine learning | data science | data mining
Saowakon Wongsasulak,"Encapsulation, Electrospinning/E-Spraying, Food Processing, Food Proteins",40,biochemistry | enzyme biology animalscience | encapsulation
Dr. Kornkanok Aryusuk,"Lipid Technology, Gas chromatography, Liquid Chromatography",35,lipid technology | gas chromatography | liquid chromatography
Tawich Pulngern,"Structural Engineering, Computational Mechanics, Construction Materials",36,material science | materials science | bibliometrics
Weerayuth Kittichotirat,"Sequencing technology, Comparative genomics, Evolution, Sequence analysis",46,bioinformatics | molecular biology | sequencing technology
Ampol Karoonsoontawong,Transportation Engineering,43,electrical engineering | transportation engineering | accident research
Soydoa Vinitnantharat,"Water treatment, Waste utilization, Environmental Quality Management",5,wastewater treatment | agricultural and food processing waste … | anaerobic digestion
Khajonpong Akkarajitsakul,"Game Theory, Resource Allocation, Data Analytics, AI",8,machine learning | artificial intelligence | robotics
Yaowaluck Maprang Roshorm,Vaccinology,32,food microbiology | xylanase | prebiotics
Surachate Kalasin,"Biosensors, Nanotechnology, Nanoscience",6,nanomaterials | organic chemistry | biosensors
PARICHART NARUPHONTJIRAKUL,"Biomaterials and Tissue Engineering, Stem cell differentiation, Nanoparticles",6,nanomaterials | organic chemistry | biosensors
Muralikrishna Sreeramareddygari,"Electrochemistry, Material chemistry",36,material science | materials science | bibliometrics
Nopporn Rujisamphan,"interface and surface characterization, solar cell technologies",11,interface and surface characterization | solar cell technologies | perovskites
Mohammad Shahab Goodarzi,"CFD, Heat transfer, Fluid Flow, Heat exchanger, Microchannel",30,additive manufacturing | 3d printing | heat transfer
Charoenchai Khompatraporn,"Supply chain and logistics management, Applied operations research, Industrial management, Sustainable production",7,industrial management | logistics | supply chain
Santitham Prom-on,"Speech Science, Prosody Modeling, Data Science, Data Engineering",13,machine learning | data science | data mining
Rungtiva P. Poo-arporn,"chemical-, bio-sensors",6,nanomaterials | organic chemistry | biosensors
Mongkol Konghirun,Electric Motor Drive,17,power electronics | electric motor drive | power electronic application for renewable …
Muhammad Ramzan,"Fluid Dynamics, Machine Learning, Deep Learning, Carbon Nanofluid, Graphene Oxide",34,fractional calculus | applied mathematics | fluid dynamics
Supachai Vongbunyong,"Robotics, Automation, Advanced Manufacturing, AI, Life Cycle Engineering",8,machine learning | artificial intelligence | robotics
Chonlameth Arpnikanondt,Software systems,39,database | technology acceptance | high performance computing
Chamroeun Se,"Accident research, transport safety, public transport",43,electrical engineering | transportation engineering | accident research
Surapong Rattanakul,"Health-related water microbiology, Ultraviolet light disinfection, Bacteriophage",32,food microbiology | xylanase | prebiotics
MUHAMMAD ARIF,"Applied Mathematics, Fluid Dynamics, Fractional Calculus, Nanofluid and Hybrid Nanofluid, Bio-Mathematics",34,fractional calculus | applied mathematics | fluid dynamics
Patcharawat Charoen-amornkitt,"electroanalytical techniques, electrochemical devices, mechanical engineering, fuel cells, batteries",6,nanomaterials | organic chemistry | biosensors
Patiyuth Pramkeaw,"Image Processing, Signal Processing, Mobile Robot",37,computer vision | image processing | machine learning
Marasri Ruengjitchatchawalya,Microalgal Biotechnology & Bioinformatics,9,food engineering | heat and mass transfer | systems biology
Talha Anwar,"Heat Transfer, Modeling, Simulation, Nanofluids, Mechanical Engineering",30,additive manufacturing | 3d printing | heat transfer
Parin Chaipunya,"Convex analysis, Optimization, Alexandrov geometry",44,fixed point theory | convex analysis | optimization
Pratchayapong Yasri,"Curriculum and Instruction, STEM education",14,english language teaching | language assessment | esp
Phitsini SUVARNAPHAET,"Physics, Graphene, Nanotechnology, Microscopy",4,physics | graphene | nanotechnology
Pasapitch Chujai Michel,"Machine Learning, Data Mining, Recommendation System, Image Processing, Time Series",13,machine learning | data science | data mining
Poj Tangamchit,"Artificial Intelligence, Robotics, Computational Finance",8,machine learning | artificial intelligence | robotics
"Pojanapunya, P.","Corpus linguistics, Keyword analysis",26,applied linguistics | corpus linguistics | teacher development
Atipat Boonmoh,"Teachers training, Language Learning, Use of ICT, CALL",22,educational technology | e-mobility and sustainability | learner autonomy
"Pichahpuk Uthaipaisanwong, Ph.D.",Bioinformatics,46,bioinformatics | molecular biology | sequencing technology
Bunthit Watanapa,"Data Science, Machine Learning, AI",13,machine learning | data science | data mining
Tuul Triyason,"Cybersecurity, IP Networking, Network Security, IT Infrastructure, Blockchain",12,it infrastructure | cybersecurity | ip networking
Phromphong Pandee,"Production engineering, Aluminum, Metallurgy, Solidification, Casting",18,metallurgy | solidification | production engineering
Sontipee Aimmanee,"Composite Materials, Sandwich Structures, Piezoelectric Materials, Biomimetic Design, Finite-element method",23,composite materials | finite element analysis | sandwich structures
Eakkachai Pengwang,"Microtechnology, MEMS, Microfabrication, Nanotechnology, Micro robots",6,nanomaterials | organic chemistry | biosensors
Sumate Naetiladdanon,"Power Electronic Application for Renewable …, Smart Grid",17,power electronics | electric motor drive | power electronic application for renewable …
Phyo Thandar Hlaing,"Water Resources Engineering, Climate Change Modeling, Land Use Land Cover Change Modeling",47,climate change | remote sensing | atmospheric and oceanic modelling
Nakarin Pattanaboonmee,"Scintillaion, Luminescence, Nonlinear optical material, Crystal Growth",42,experimental physics | scintillaion | luminescence
Chinapong Kritayakornupong,"Computational Chemistry, Molecular Dynamics Simulation, Covalent Organic Frameworks, Gas Sensors, Organic Solar Cells",6,nanomaterials | organic chemistry | biosensors
Oraphin Chantarasriwong,"Organic Synthesis, Natural Products Chemistry, Medicinal Chemistry",25,organic synthesis | bioactive compound | flavor
Pravate Tuitemwong,"microbial food safety, risk assessment, rapid methods, nanotechnology, food microbiology",32,food microbiology | xylanase | prebiotics
thumrongrat Amornraksa,"Cryptography and Data Security, Digital Image Processing, Digital Image Watermarking",0,cryptography and data security | digital image processing | digital image watermarking
Thavida Maneewarn,Robotics,8,machine learning | artificial intelligence | robotics
Sarttrawut Tulaphol,"Biomass conversion, advanced renewable materials",27,biomass conversion | cement pozzolan fly ash biomass ash … | energy technology
Songkeart Phattarapattamawong,"Environmental Engineering and Management, Water and wastewater treatment, Waste recovery",5,wastewater treatment | agricultural and food processing waste … | anaerobic digestion
Supanida Piyayotai,"Cheminformatics, Biomedical Informatics",46,bioinformatics | molecular biology | sequencing technology
Wittaya Kaonongbua,"Biodiversity, Fungal Ecology, Molecular Phylogeny, Mycorrhiza, Taxonomy",2,phytoremediation adsorption air pollition rice | biodiversity | fungal ecology
Suvaluk Asavasanti,"Food Engineering, Advanced Food Technology (PEF, Ohmic, Plant Physiology",9,food engineering | heat and mass transfer | systems biology
Pattaramon Jongpradist,"Automotive safety, Crashworthiness, Lightweight structure, Structural Optimization",43,electrical engineering | transportation engineering | accident research
Surachai Suksakulchai,Robotics for Education & Special Needs …,8,machine learning | artificial intelligence | robotics
Sirilak Baramee,Enzyme Technology,40,biochemistry | enzyme biology animalscience | encapsulation
Werapon Chiracharit,"Digital Image Processing, Computer Vision",37,computer vision | image processing | machine learning
Wandee Onreabroy,Material science,36,material science | materials science | bibliometrics
Orrapun Selamassakul,bioactive peptide,40,biochemistry | enzyme biology animalscience | encapsulation
Patiya Kemacheevakul,"nutrient recovery, wastewater treatment, solid waste recycling",5,wastewater treatment | agricultural and food processing waste … | anaerobic digestion
Parinya Sa Ngiamsunthorn,"Nonlinear Analysis, Partial Differential Equations, Dynamical Systems, Fractional Calculus, Tertiary Mathematics Education",34,fractional calculus | applied mathematics | fluid dynamics
Teeraphan Laomettachit,Computational Biology,46,bioinformatics | molecular biology | sequencing technology
Stephen Manova,"Energy, Thermal management in electronics, Heat pipes and vapor chambers",16,energy policy | renewable energy | energy
Chana Phutthananon,"Geotechnical Engineering, Numerical Methods in Geomechanics, Ground Improvement",10,geotechnical engineering | numerical methods in geomechanics | ground improvement
"Chanchai Sattayanon, PhD.","DFT&QM, Catalyst design, Reaction mechanism, Education&Innovation",36,material science | materials science | bibliometrics
HASEEB AKBAR,"Life cycle assessment, Hydrology, Climate change, Nexus, Remote sensing",47,climate change | remote sensing | atmospheric and oceanic modelling
Chainarong Athisakul,"Structural Mechanics, Offshore Structures, Laser scanning, Structural Health monitoring",10,geotechnical engineering | numerical methods in geomechanics | ground improvement
Benjamas Panomruttanarug,Tracking Control in Autonomous Driving,41,artificial intelligence | deep learning | tracking control in autonomous driving
Warasinee Chaisangmongkon,Artificial Intelligence,41,artificial intelligence | deep learning | tracking control in autonomous driving
Roongrojana Songprakorp,"Renewable energy technology, Energy storage, Energy modeling",16,energy policy | renewable energy | energy
Kittichai Chaiseeda,"Organic Chemistry, Nanomaterials, Environmental Chemistry",6,nanomaterials | organic chemistry | biosensors
Wannapa Trakulkasemsuk,English as a Lingua Franca World Englishes …,14,english language teaching | language assessment | esp
Porntip Khownarumit,"electrochemical sensors, modified electrodes, screen-printed electrodes, dynamic nanocomposition",6,nanomaterials | organic chemistry | biosensors
Natasha Dejdumrong,"Computer Aided Geometric Design, Computer Graphics",45,computer aided geometric design | computer graphics | physically based modeling
Apiwat Wisitsorasak,"Computational plasma physics, condensed matter",29,high energy particle physics | education | ultrafast science
Porntip Dechpichai,"Statistics, Machine Leaning",13,machine learning | data science | data mining
Nittaya Cha-un,Greenhouse gas emissions and mitigation in …,24,life cycle assessment | sustainability | energy systems
Ahsan Farooq,"Life Cycle Assessment (LCA), Planetary Boundaries (PB), Absolute Sustainability, Monetary Valuation",24,life cycle assessment | sustainability | energy systems
Punchira Vongsawasdi,"Food Processing and Preservation, Functional Food",27,biomass conversion | cement pozzolan fly ash biomass ash … | energy technology
Awassada Phongphiphat,Waste-to-energy,5,wastewater treatment | agricultural and food processing waste … | anaerobic digestion
Pawaton Kaemawichanurat,"Graph Theory, Combinatorics",31,combinatorics | machine learning | graph theory
somyod denchitcharoen,"Thin film technology, Vacuum technology, Nanomaterial processing, Light emitting devices",4,physics | graphene | nanotechnology
Wittawat Yodsomjai,Geotechnical engineering,10,geotechnical engineering | numerical methods in geomechanics | ground improvement
Photchanathorn Prombun,"Bioinformatics, Metagenomics, Molecular Biology",46,bioinformatics | molecular biology | sequencing technology
Wanchak Lenwari,"Active power filters, Advanced control for power electronics and …",17,power electronics | electric motor drive | power electronic application for renewable …
Sorakrich Maneewan,"educational technology, learning design",22,educational technology | e-mobility and sustainability | learner autonomy
SUPACHAI PUENGSUNGWAN,"IoT, Machine Learning, Education, Smart Farming, Robotics",8,machine learning | artificial intelligence | robotics
Worarat Krathu,"Business Process Management, Digital Health, Data Science",1,digital humanism | human computer interaction | human factors engineering
Jirayut Euanorasetr,"Actinobacteria, Biodegradation of plastic, Probiotics, Bioactive compounds, PGPR",27,biomass conversion | cement pozzolan fly ash biomass ash … | energy technology
Asifa,"Nanofluids, Fractional Derivatives, Numerical Analysis, MHD, Porous media flows",34,fractional calculus | applied mathematics | fluid dynamics
Tula Jutarosaga,"Thin Film Deposition, Nanomaterials, Defects in Semiconductors, Science Education",4,physics | graphene | nanotechnology
Supachart iamratanakul,"Project, Logistics, Marketing, Innovation, Management",7,industrial management | logistics | supply chain
Kamon Jirasereeamornkul,Power Electronics,17,power electronics | electric motor drive | power electronic application for renewable …
Yanin Sukjai,"nuclear reactor design, cold energy utilization, waste heat recovery, printed circuit heat exchanger, pulverized biomass burner",30,additive manufacturing | 3d printing | heat transfer
Sudchai Boonto,"Control Theory and Applications, LPV systems, Repetitive Control.",8,machine learning | artificial intelligence | robotics
Chukiat Worasucheep,"Evolutionary Computation, Swarm Intelligence, Computational Intelligence, Data Science, Automatic Trading System",8,machine learning | artificial intelligence | robotics
Katekanya Tadsuwan,"Environment, Microplastic, Wastewater",5,wastewater treatment | agricultural and food processing waste … | anaerobic digestion
Jumpol Polvichai,"Artificial Intelligence, Machine Learning, Robotics",8,machine learning | artificial intelligence | robotics
Rardchawadee Silapunt,"IoT, Edge Computing, Low Power Wide Area Network, Antenna Design and Fabrication",12,it infrastructure | cybersecurity | ip networking
Prissadang Suta,"Natural Language Processing, Chatbot, Applied LLM Research",3,machine learning | natural language processing | nlp
Mahmoud Muhammad Yahaya,"stochastic optimization, machine learning, nonlinear optimization, nonlinear least squares",8,machine learning | artificial intelligence | robotics
Ekkachai Mujjalinvimut,Power Electronics,17,power electronics | electric motor drive | power electronic application for renewable …
Suppakrit Khrueaduangkham,"Computational fluid dynamic, Additive manufacturing, Lattice structure, TPMS, Porous media",30,additive manufacturing | 3d printing | heat transfer
Ditpon Kotatha,"Biochemistry, Carbohydrate Technology, Starch Chemistry, Meat Quality",9,food engineering | heat and mass transfer | systems biology
Pratin Kullavanijaya,"Waste utilization and management, anaerobic technology",5,wastewater treatment | agricultural and food processing waste … | anaerobic digestion
Kajornvut Ounjai,"decision making, meta-decision making, data analytics",1,digital humanism | human computer interaction | human factors engineering
Pitirat Pholpabu,"Polymeric Biomaterials, Controlled Drug Release",19,composites | controlled drug release | polymeric materials
Kitchanon Ruangjirakit,"Composite Materials, Finite Element Analysis",23,composite materials | finite element analysis | sandwich structures
Ganda Boonsothonsatit,"Supply Chain, Logistics, System Dynamics",7,industrial management | logistics | supply chain
Songpon Sriwongsa,"Lie Theory, Algebraic Graph Theory",31,combinatorics | machine learning | graph theory
Poommaree Namchaiw,neurobiology,46,bioinformatics | molecular biology | sequencing technology
Anirut Luadsong,Computational Mathematics,13,machine learning | data science | data mining
"Asst.Prof.Aksarapak Lucktong, Ph.D.","Family Demography, Child and Youth Development, Employability, Positive Psychology",22,educational technology | e-mobility and sustainability | learner autonomy
Non Thongprong,"perovskites, solar cells, DFT, drift diffusion model, physics-informed neural networks",11,interface and surface characterization | solar cell technologies | perovskites
Anawat Pinisakul,"Biochar adsorption, Wastewater Treatment, Sludge Management",5,wastewater treatment | agricultural and food processing waste … | anaerobic digestion
RATCHANIKORN CHONCHAIYA,"Mathematics Education, Learning Management, Vocational Mathematics",13,machine learning | data science | data mining
Assoc.Prof.Dr.Surapon Boonlue,"Education technology. Mass communication, New Media, AI",22,educational technology | e-mobility and sustainability | learner autonomy
Kuntida,media,21,telecommunication | information technology adoption | strategic digital transformation
Lalintip Hocharoen,"Bioprocess, Biotech, Biopharma",9,food engineering | heat and mass transfer | systems biology
Pakpoom Chansri,"Power Electronics, Thin Film Material Nanotechnology, Plasma Engineering",4,physics | graphene | nanotechnology
Juan Manuel José Domínguez,"Primates, general and spatial ecology on wild animals …",33,conservation ecology | ecology | animal conservation
rajchawit sarochawikasit,"High Performance Computing, Computational Material Science, Machine Learning",13,machine learning | data science | data mining
Monnapat Vongboot,"Green analytical chemistry, Down-scaling procedure, Modified polyurethane foam, Analytical platform",19,composites | controlled drug release | polymeric materials
Watchara Liewrian,"Quantum transport, Spintronics, Topological insulator, Holographic matter",29,high energy particle physics | education | ultrafast science
Awais Mahmood,"Life Cycle Assessment, Bio-energy Systems, Sustainability Assessment, Sustainable Development, Environmental Management",24,life cycle assessment | sustainability | energy systems
Tanagorn Jennawasin,"Control Theory, Convex Optimization, Numerical Methods, Data Analysis",44,fixed point theory | convex analysis | optimization
Isaratat Phung-on,"Welding, Materials, Corrosion",18,metallurgy | solidification | production engineering
Krisana Kobwittaya,"Advanced Materials for Water and …, Materials Chemistry, Photocatalysts",19,composites | controlled drug release | polymeric materials
Usa Makmool Grare,"Combustion technology, Combustion diagnostics, Energy efficiency",20,combustion | combustion technology | combustion diagnostics
YASIR ARFAT,"Nonlinear Convex Analysis and Optimization, Fixed Point Theory, Continues optimization",44,fixed point theory | convex analysis | optimization
Sakol Teeravarunyou,"Human Factor, Usability, Cognitive Human Factor, Design",1,digital humanism | human computer interaction | human factors engineering
Chittra Kedkaew,"Gem and Jewelry, Glass, Thin film, Physics Education",4,physics | graphene | nanotechnology
Sirirat Wachiralurpan,"biosensors, biodeterioration, biochemistry, Molecular biology",6,nanomaterials | organic chemistry | biosensors
suwat pattaramalai,"Digital communications, Performance analysis",12,it infrastructure | cybersecurity | ip networking
Bawornsak Sakulkueakulsuk,"Deep Reinforcement Learning, Robotics, Machine Learning",8,machine learning | artificial intelligence | robotics
Wyatt J Petersen,"Conservation, Ecology, Wildlife",33,conservation ecology | ecology | animal conservation
Apichai Bhatranand,"Optical Sensors, Integrated Optics, Fiber Optic Communication, Biomedical Applications",6,nanomaterials | organic chemistry | biosensors
Napachat Tareelap,Corrosion,36,material science | materials science | bibliometrics
Warin Wattanapornprom,"Bioinformatics, Estimation of Distribution Algorithm, Combinatorial Optimization, Production Line Planning",46,bioinformatics | molecular biology | sequencing technology
