Name,Expertise,Cluster,Cluster_Theme
Chawin Chantharasenawong,"Wind Energy, Formula Student, Nonlinear Dynamics",38,wind energy | formula student | nonlinear dynamics
Saowaluck Tepsuriwong,"Language learning, pedagogy, applied linguistics",26,applied linguistics | corpus linguistics | teacher development
Teema Leangarun,"Deep Learning, Quantitative Finance, Stock manipulation detection, Artificial Intelligence",8,machine learning | artificial intelligence | robotics
PIYATIDA KITTIPORNKUL,"phytoremediation, environmental stress on plants",2,phytoremediation adsorption air pollition rice | biodiversity | fungal ecology
Yanawut Manmana,"Sensor and Biosensor, Point-of-care testing",6,nanomaterials | organic chemistry | biosensors
Patipan Sae-Lim (ปฏิภาณ แซ่หลิ่ม),"Enterprise Risk Management, Risk and Crisis, ESG, Climate Risk",24,life cycle assessment | sustainability | energy systems
NIWAN WATTANAKITRUNGROJ,"Machine Learning, Neural Networks",3,machine learning | natural language processing | nlp
Atikom Sombatmai,Additive manufacturing,30,additive manufacturing | 3d printing | heat transfer
supapong nutwong,Wireless power transfer,15,wireless power transfer | induction heating | postharvest technology
Chamnan Limsakul,Photovoltaic,11,interface and surface characterization | solar cell technologies | perovskites
Yuttapong Jiraraksopakun,"Artificial Intelligence, Deep Learning, Machine Learning, Signal Processing, Biomedical Applications",8,machine learning | artificial intelligence | robotics
Sansiri Tarnpradab,"Machine learning, Social network analysis, Natural language processing, Data mining",13,machine learning | data science | data mining
Chanikarn Wongviriyawong,"Learning analytics, motivation, deep learning, modeling",13,machine learning | data science | data mining
Nathakhun Wiroonsri,"Probability, Stein's method, Statistical and machine learning, Mathematical statistics",13,machine learning | data science | data mining
Arnon Setsungnern,"Environmental science, Plant science, Air pollution, Plant-microbe interactions, Greenhouse gas",2,phytoremediation adsorption air pollition rice | biodiversity | fungal ecology
Diew Koolpiruck,"Smart manufacturing, Digital transformation, Industrial AI",8,machine learning | artificial intelligence | robotics
Chanchai Petpongpan,็ัHydrology Water Resources Management …,47,climate change | remote sensing | atmospheric and oceanic modelling
Narongrit Waraporn,"Database Systems, Pervasive Computing, Information Technology",39,database | technology acceptance | high performance computing
Songsirin Ruengvisesh,"Food microbiology, Food safety, Natural antimicrobial, Pathogen detection",32,food microbiology | xylanase | prebiotics
Wenwen Tan,"Applied Linguistics, academic advising, teacher development",26,applied linguistics | corpus linguistics | teacher development
Amornrat Kaewpradap,Combustion,20,combustion | combustion technology | combustion diagnostics
Thanyathorn Thanapattheerakul,"Cybersecurity, Vulnerability Research, Affective computing, Bioninformatics, Machine learning",13,machine learning | data science | data mining
Amornrat Kaewpradap,Combustion and Energy,20,combustion | combustion technology | combustion diagnostics
"Jaturapitakkul, N.","Language assessment, English Language Teaching and Learning, ESP",14,english language teaching | language assessment | esp
unhawa ninrutsirikun,"Artificial Intelligence, Data analysis",41,artificial intelligence | deep learning | tracking control in autonomous driving
Ittisak Jirapornvaree,"Waste Management, Life Cycle Assessment, Impact Assessment, Green Supply Chain Management",24,life cycle assessment | sustainability | energy systems
Thidarat Bunsri,"Geoenvironmental Engineering, Environmental Modelling, Green Infrastructure, Biosmart Materials",47,climate change | remote sensing | atmospheric and oceanic modelling
Lita Chheang,"Environmental Chemistry, Bioanalytical, Cotton sensor",6,nanomaterials | organic chemistry | biosensors
Dr. Ali Zahabi,English Language Teaching Language …,14,english language teaching | language assessment | esp
Mingkhuan Phaksunchai,"Science Education, Educational Research, Assessment, Learning and Teaching",14,english language teaching | language assessment | esp
Abdullahi Usman,"Optical Metrology, Interferometric sensor and thin- film …",4,physics | graphene | nanotechnology
Watchara Ruangsang,"Super-Resolution, Edge AI",37,computer vision | image processing | machine learning
Bunthid Chueasa,Climate Change,47,climate change | remote sensing | atmospheric and oceanic modelling
Maliwan Namkhan,"Conservation ecology, Remote sensing, Species distribution modeling",33,conservation ecology | ecology | animal conservation
Puthyrom Tep,"Educational Psychology, Constructionism",22,educational technology | e-mobility and sustainability | learner autonomy
Trairat Muangthong-on,"Environmental Engineering, Biochar, Biomass Conversion, Coal Science, Waste Management Engineering",9,food engineering | heat and mass transfer | systems biology
HARSHAL H KULKARNI,"Machining, Machinability, Chip formation, Powder Metallurgy",18,metallurgy | solidification | production engineering
Kantharakorn (Korn) Macharoen,Bioprocess engineering,9,food engineering | heat and mass transfer | systems biology
Apassara Suechoei,"Fractional Calculus, Partial Differential Equations, Nonlinear Analysis, Applied Mathematics, Applied Analysis",34,fractional calculus | applied mathematics | fluid dynamics
Suchit Pongnumkul,"Technology Management, Innovation Management, Blockchain, AI",8,machine learning | artificial intelligence | robotics
Komson Jirapattarasilp,"Manufacturing Engineering, Industrial Management",7,industrial management | logistics | supply chain
Suriya Natsupakpong,"Physically based Modeling, Computer Graphics, Computer Vision and Image Processing",45,computer aided geometric design | computer graphics | physically based modeling
Duangkamon Winitkun,"Applied Linguistics, Educational Psychology, Teacher Development, Language Teaching, Asian Studies",26,applied linguistics | corpus linguistics | teacher development
S.Jodpimai (Dr. Surachai Jodpimai),"Physics, Environmental Engineering, Electrical Engineering",43,electrical engineering | transportation engineering | accident research
Danai Phaoharuhansa,"Motion control system, Electric vehicle, Elastomer actuator",17,power electronics | electric motor drive | power electronic application for renewable …
Nattapong Hatchavanich,"Resonant Power Converters, Wireless Power Transfer, Induction Heating",15,wireless power transfer | induction heating | postharvest technology
Pimpitcha Sankanit,"Material Science, Fracture Mechanics",36,material science | materials science | bibliometrics
Santirat Nansaarng,Materials Science,36,material science | materials science | bibliometrics
kornvalai panpae,complex chemosensor/ enzyme …,40,biochemistry | enzyme biology animalscience | encapsulation
Wuttiporn Suamuang,"Computer in Education, Learning Environment, Work-Integrated Learning",22,educational technology | e-mobility and sustainability | learner autonomy
Tanokkorn Chenvidhya,solar cell system,11,interface and surface characterization | solar cell technologies | perovskites
Thanapich Santiwat,"Organics chemistry, Fluorescence sensor, Nanomaterials, Industrial chemistry, Agrochemicals",6,nanomaterials | organic chemistry | biosensors
Jakrapop Wongwiwat,"mechanical engineering, combustion, extraction process",20,combustion | combustion technology | combustion diagnostics
Ekkaphop Ketsombun,"Thin films, Graphene",4,physics | graphene | nanotechnology
Thitaporn Chaisilprungraung,Cognitive Neuroscience,41,artificial intelligence | deep learning | tracking control in autonomous driving
Warisa Yomsatieankul,"Mathematics in industry, Computational mathematics, Mathematical modelling, Data analytics, Data science",13,machine learning | data science | data mining
Nisakorn Thongkon,"metal analysis, surfactant analysis, adsorption isotherms, Kinetic isotherm, Imprinted technology",6,nanomaterials | organic chemistry | biosensors
Chanuphon Trakarnchaiyo,Mechatronics,41,artificial intelligence | deep learning | tracking control in autonomous driving
Dr. Prattana Kaewpet,"Alternative energy, Energy Policy",16,energy policy | renewable energy | energy
atip doolgindachbaporn,Electrical Engineering,43,electrical engineering | transportation engineering | accident research
Muhammad Naufal Hakim,"Bioproduct Technology, Systems Biology, Process Modeling",9,food engineering | heat and mass transfer | systems biology
Jittrawan Thaiprasit,"Agriculture, plant molecular, synthetic bioloby",25,organic synthesis | bioactive compound | flavor
Viroat Srisurapanon,"Urban Transportation system, Bicycling, Taxi Management, School Trips",43,electrical engineering | transportation engineering | accident research
POLWASIT LHAKARD,Policy and Management,7,industrial management | logistics | supply chain
Kitcha Thepsiri,Applied Linguistics,26,applied linguistics | corpus linguistics | teacher development
Salisa Chumsantea,"Lipid Technology, HPLC",35,lipid technology | gas chromatography | liquid chromatography
Kay Thi Soe,"Perovskite Solar Cells – Device Physics, Surface Passivation, and Stability Enhancement",11,interface and surface characterization | solar cell technologies | perovskites
Susanta Malakar,"Computer Vision, Image Processing, AI",37,computer vision | image processing | machine learning
Atthaporn Ariyarit,"Perovskite solar cell, Thin film fabrication, Metal oxide, Triboelectric nanogenerator",11,interface and surface characterization | solar cell technologies | perovskites
Siriluck Pojjanapornpun,Lipid Technology,35,lipid technology | gas chromatography | liquid chromatography
Wutipong Preechaphonkul,"Thermal ablation, Heat and Mass transfer, Porous media, FEM, Numerical model",30,additive manufacturing | 3d printing | heat transfer
Khalid Sabo Muhammad,"Optical Fiber Sensor, Computer Vision, Machine Learning, Wireless Sensor, Optical Communication",8,machine learning | artificial intelligence | robotics
Chanchai Techawatcharapaikul,"AI, Image Processing, Railway",37,computer vision | image processing | machine learning
Suppanut Varongchayakul,"Waste utilization, Anaerobic digestion, Lignocellulose material, Renewable energy, Modern molecular",27,biomass conversion | cement pozzolan fly ash biomass ash … | energy technology
Vorapoch Angkasith,Industrial Management,7,industrial management | logistics | supply chain
PREMPREE DUANGPUMMET,"Chemistry Education, Science Education",36,material science | materials science | bibliometrics
Rohi Tariq,"Computer Science, artificial intelligence, Machine learning, graph clustering",31,combinatorics | machine learning | graph theory
Abdulwahab Ahmad,"Fixed Point Theory, Nonlinear Operator Theory and Applications, Variational inequality theory.",44,fixed point theory | convex analysis | optimization
DAWUD THONGTHA,Probability Theory,41,artificial intelligence | deep learning | tracking control in autonomous driving
Dr.Ittirit Mohamad,"Machine Learning, Big Data, loT, Future Manufacturing, Transportation Engineering",13,machine learning | data science | data mining
Nattawut Whangsomnuek,"Biochemical Technology, Lipid Technology, Bioactive Lipids, Biological activity, Cosmetic",9,food engineering | heat and mass transfer | systems biology
LA Channa. B. Jayasekara,Biochemistry,40,biochemistry | enzyme biology animalscience | encapsulation
Wittawin Susutti,"Computer vision, Machine learning",37,computer vision | image processing | machine learning
Waranchit Ruengsrisang,"Density functional theory, Physics, Materials science",36,material science | materials science | bibliometrics
Pantita Trongjitraksa,"Catalysis, Bioethanol",25,organic synthesis | bioactive compound | flavor
Nontakoch Siriphongsapak,ZnO Nanostructure,36,material science | materials science | bibliometrics
AYE HNINN KHINE,"Natural Language Processing, Machine Learning",3,machine learning | natural language processing | nlp
IBRAHIM MUHAMMAD ADAM,"solar cells, DFT, Interface engineering, Material Science",4,physics | graphene | nanotechnology
Apinya Puapattanakul,"positive energy district, exergy analysis, energy policy",16,energy policy | renewable energy | energy
Nattawan Chorhirankul,"Membrane tecnology, Food processing, Heat and mass transfer, Separation process, Machine learning",9,food engineering | heat and mass transfer | systems biology
Pawicha Phairatchatniyom,"Fixed point theory, Variational inequality problem, Split variational inclusion problem",44,fixed point theory | convex analysis | optimization
Thanawat Duangfoo,Molecular Biology,46,bioinformatics | molecular biology | sequencing technology
Watcharapoj Sapsanguanboon,"Logistics and Supply Chain Management, Sustainability, Strategic Management",7,industrial management | logistics | supply chain
Nadir Hussain,AI & IoT-based Flood Alert system to prevent …,41,artificial intelligence | deep learning | tracking control in autonomous driving
"Noritsugu Kamata,Ph.D.（鎌田憲嗣,Ph.D.）",Electrical Engineering Electronic Engineering …,43,electrical engineering | transportation engineering | accident research
Ibrahim Yahaya Muhammad,"Quantum Walks, Quantum Information, Biophysics, Computational Condensed Matter Physics",29,high energy particle physics | education | ultrafast science
GHULAM ALI AMIRI,"Artificial Intelligence, Digital Transformation, Internet of Things, Conversational AI",8,machine learning | artificial intelligence | robotics
ISRAT JAHAN,"Ornithology, Ecology, Wildlife biology, Conservation ecology",33,conservation ecology | ecology | animal conservation
Warit Tenpipat,"HPC, Network, Data",12,it infrastructure | cybersecurity | ip networking
Zammad Ali,Mathematics,13,machine learning | data science | data mining
TAWEECHAI NUNTAWISUTTIWONG,Computer Aided Geometric Design,45,computer aided geometric design | computer graphics | physically based modeling
Onnjira Diewwanit,"Aluminum Alloys, Solidification, Surface Treatment",18,metallurgy | solidification | production engineering
KANTAPAT KWANSOMKID,Digital Media Technology Innovation Design,21,telecommunication | information technology adoption | strategic digital transformation
Abid Abdu Mohammed,Production engineering Aluminum Metallurgy …,18,metallurgy | solidification | production engineering
Napat Nawawithan,"Finite element method, Structural analysis, Natural fiber composite",23,composite materials | finite element analysis | sandwich structures
Boonyarit Changaival,"Optimization, Machine Learning, Graph Theory, Remote Sensing",28,remote sensing | optimization | machine learning
Naveed Sultan,"Deep Learning, Image Processing, Image Super-Resolution, Remote Sensing",28,remote sensing | optimization | machine learning
Poonsiri Jailungka,"Virtual Reality, Augmented Reality, Mixed Reality, TeleRobotic, 3D Printing",30,additive manufacturing | 3d printing | heat transfer
Kasan Chanto,"Structural engineering, Timber structures, Structural mechanics, Structural design",10,geotechnical engineering | numerical methods in geomechanics | ground improvement
Sarawuth Noppiboon,"Bioprocess, Biotech, Biopharma",9,food engineering | heat and mass transfer | systems biology
Pochpagee Markpiban,building materials,36,material science | materials science | bibliometrics
Hafsa Mehmood,"Life Cycle Assessment, Sustainable solutions, Climate change",24,life cycle assessment | sustainability | energy systems
Mengly Long,"Transport phenomena, Electrochemical Engineering",43,electrical engineering | transportation engineering | accident research
Haliru Abdullahi,Biochemical Technology,40,biochemistry | enzyme biology animalscience | encapsulation
Phoomintara Longsompurana,"Sensor, Electrochemistry, Structural Bioinformatics, Enzyme Kinetics, Biochemistry",40,biochemistry | enzyme biology animalscience | encapsulation
Dipanita Chakraborty,… vision and Artificial Intelligence (Image and …,37,computer vision | image processing | machine learning
Ronnakrit Rangsarittikun,"Corpus linguistics, Discourse analysis, Innovation in education",26,applied linguistics | corpus linguistics | teacher development
Ekkaphot Meesa-ard,"Wireless Communication, Wireless Fading Channel, Mobility Impact",15,wireless power transfer | induction heating | postharvest technology
Punyapat Areerob,"Robotics, Machine Learning, Artificial Intelligence, Control System, Optimization",8,machine learning | artificial intelligence | robotics
Zeshan Alam,"Operations Research & Management, Sustainable Development, Environment, Climate Change, Supply Chain",7,industrial management | logistics | supply chain
Dr.Tippawan Pinvanichkul,"Venture capital, Enterpreneurship",21,telecommunication | information technology adoption | strategic digital transformation
BOONMAN A.,"STI policy, Bioenergy, Environment, GIS platform and remote sensing",24,life cycle assessment | sustainability | energy systems
HAFSAH TABASSUM,"Combinatorics, Graph Τheory, Discrete Mathematics, Machine Learning",31,combinatorics | machine learning | graph theory
Jakpong Moonkawin,"Non-sewered sanitation, Wastewater treatment, Greenhouse Gas Emissions",5,wastewater treatment | agricultural and food processing waste … | anaerobic digestion
Muhammad Sajjad,"Chemical sensors, fluorescence, MIP, smartphone detection, microgels.",6,nanomaterials | organic chemistry | biosensors
Duangjaichanok Pansa,"Language Testing and Assessment, English Language Teaching",14,english language teaching | language assessment | esp
SIAM YAMSAENGSUNG,"Computer network, IT infrastructure, Computer Security",12,it infrastructure | cybersecurity | ip networking
Kosit Jariyatatsakorn,Geotechnical engineering,10,geotechnical engineering | numerical methods in geomechanics | ground improvement
Atawit Jantaupalee,"Wave propagation, Electromagnetic wave, Antenna, Satellite communication, and Geophysics",42,experimental physics | scintillaion | luminescence
winyu chitsamphandhvej,"chemistry, gas chromatography mass spectrometry",35,lipid technology | gas chromatography | liquid chromatography
Aung Myo Htut,"Video streaming, Message broker, Software defined networking, machine learning",8,machine learning | artificial intelligence | robotics
Thakdanai Sirisombat,space technology IOT robot automatic,41,artificial intelligence | deep learning | tracking control in autonomous driving
Waraporn Chatanin,"Lie group Theory, Stability Analysis, Mathematics Education",13,machine learning | data science | data mining
Minh Tran,Emerging Contaminants,2,phytoremediation adsorption air pollition rice | biodiversity | fungal ecology
Sunaree Lawanyawatna,"Architecture, Humanitarian design",10,geotechnical engineering | numerical methods in geomechanics | ground improvement
Eka Wahyanti,Environmental Science - Energy Technology,16,energy policy | renewable energy | energy
Aysha Sohail,"artificial intelligence, combinatorial optimization, evolutionary algorithms, genetic algorithms",8,machine learning | artificial intelligence | robotics
Kaung Htet Swan,"Sustainable Development, Decision-Making, Municipal Solid Waste Management, Urban Planning",24,life cycle assessment | sustainability | energy systems
Sirawich Sapsirisuk,Oleaginous yeast,27,biomass conversion | cement pozzolan fly ash biomass ash … | energy technology
Kullapong Lertkiatpeeti,Computational Material Science,36,material science | materials science | bibliometrics
Pattana Somroob,"condensed matter physics, complex system",29,high energy particle physics | education | ultrafast science
Fachri Hamzah Pangestu,"Discourse Analysis, Language and Gender, Intercultural Communication, Sociolinguistics",26,applied linguistics | corpus linguistics | teacher development
PORNTIP DECHPICHAI,Statistics,41,artificial intelligence | deep learning | tracking control in autonomous driving
Rithea Sum,"Digital System Design, Deep Neural Networks",8,machine learning | artificial intelligence | robotics
KANOKWAN KRATULOEK,"Fixed Point Problem, Inclusion Problem, Image Processing",37,computer vision | image processing | machine learning
Thanabodi Worakitthamrong,"Optics, Electromagnetism, Experimental physics",42,experimental physics | scintillaion | luminescence
Nattanon Chaidet,"Experimental Physics, Geometric Optics, Laser Optics",42,experimental physics | scintillaion | luminescence
hathairat kunakornsakul,Information Literacy,22,educational technology | e-mobility and sustainability | learner autonomy
CHAKCHARAT NOIKLUEB,"ICT Education Technology, Gerontology",22,educational technology | e-mobility and sustainability | learner autonomy
Natthanan Chawphongphang,Artificial Intelligence,41,artificial intelligence | deep learning | tracking control in autonomous driving
SOPHAT PHON,"Chemistry, Biochemistry, Industrial Chemistry, Polymer Chemistry",9,food engineering | heat and mass transfer | systems biology
Ubaida Muhammad Adamu,"Plant Communication, Plant Genomics, Phytochemistry, Machine Learning, Gas Sensors",2,phytoremediation adsorption air pollition rice | biodiversity | fungal ecology
Kanokphon Fufon,"Internet of Thing, Digital Image Processing, Computer Vision, Artificial Intelligen",37,computer vision | image processing | machine learning
JIRAYU HEMWAT,"Welding, Additive Manufacturing, Metallurgy, Laser, Magnesium",18,metallurgy | solidification | production engineering
Yuni Kartika,Posthavest technology,15,wireless power transfer | induction heating | postharvest technology
LAXMAN GAUTAM,"Machine Learning, Data Engineering, Data Mining, AI, Cloud Computing",13,machine learning | data science | data mining
Tripoom Rojanavarakul,"Academic Writing, Logical Thinking, Logical Connectors",26,applied linguistics | corpus linguistics | teacher development
Azizuddin Muhammad Nashafi,"Bioremediation, Plant-microbes interaction, Microbial fuel cell",2,phytoremediation adsorption air pollition rice | biodiversity | fungal ecology
JIRAVIT PRATVITTAYA,"data-driven control, control theory, control engineering, Space Technology Development",8,machine learning | artificial intelligence | robotics
Nutdanai Bodinthitikul,"Physics, Thin Film, Material Science",4,physics | graphene | nanotechnology
Jariya Yomsatiankul,"Geography, Geographic Information System, Remote Sensing, Urban Planning",47,climate change | remote sensing | atmospheric and oceanic modelling
Panin Poolchak,Material science and Spectroscopy,36,material science | materials science | bibliometrics
Win Ko Ko Naing Tun,Ecology,33,conservation ecology | ecology | animal conservation
Dr. Cheng-Chun Alan Tsai,"ELT, ESP, language assessment, course and curriculum design, technology-assisted learning",14,english language teaching | language assessment | esp
Vissavakawn Gigsydha Matimapa-Kay,"Machine learning, IoT, and Alternative energy",16,energy policy | renewable energy | energy
Supitchaya Thongkaew,"semiconductor, grain boundary, plasma technology, nanotechnology",4,physics | graphene | nanotechnology
Thanet Chitsuphaphan,"Time series analysis, applied statistics, stochastic programming",13,machine learning | data science | data mining
Kriangsak Phalapanyakoon,"Internet of things, Operation Research, Networks",12,it infrastructure | cybersecurity | ip networking
Rangsan Kiatpanont,"Digital Transformation, Innovation Management",21,telecommunication | information technology adoption | strategic digital transformation
Nott Santiketa,"SPR (Surface Plasmon Resonance), physics education, machine learning",13,machine learning | data science | data mining
Kaung Myat Kyaw,"computer science, artificial intelligence",41,artificial intelligence | deep learning | tracking control in autonomous driving
Thiha Thein,"English Language Teaching, Language and Culture, Intercultural Communication",14,english language teaching | language assessment | esp
Chanawee Phetpraphatson,Engineering Education,43,electrical engineering | transportation engineering | accident research
Kritsada Tadta,general physics,42,experimental physics | scintillaion | luminescence
Naphatsanan Suwannawong,"Educational Technology, Instructional Design, ICT in Education",22,educational technology | e-mobility and sustainability | learner autonomy
Woravit Seneechai,"English Language Teaching, Corpus Linguistics, Curriculum Development",14,english language teaching | language assessment | esp
Patcharapon Kaewnoen,"Energy, Solar, Electric Vehicles",16,energy policy | renewable energy | energy
Pakawat Phasook,Artificial Intelligence,41,artificial intelligence | deep learning | tracking control in autonomous driving
Chatchawan Watchararuangwit,"image processing, numerical methods, Fourier transform, Wavelet transform",37,computer vision | image processing | machine learning
Supasate Vorathammathorn,"Quantum Machine Learning, Quantum Computing",29,high energy particle physics | education | ultrafast science
Fahrullazi Fahrullazi,"Sustainability, Supply chain, Energy systems",24,life cycle assessment | sustainability | energy systems
Natthawat Tungruethaipak,Deep Learning,41,artificial intelligence | deep learning | tracking control in autonomous driving
THANATAT WONGABUT,"User Experience, User Interface, Human-Computer Interaction, Generative AI",8,machine learning | artificial intelligence | robotics
JESSADA PRANEE,large language model,3,machine learning | natural language processing | nlp
Attakarn Jansasithorn,"Computer Fluid Dynamics, Wind energy",38,wind energy | formula student | nonlinear dynamics
Charoen Soontravanich,operations research,7,industrial management | logistics | supply chain
Natawat Klamsakul,Harmonic analysis,44,fixed point theory | convex analysis | optimization
Yoga Saputra,Organic Chemistry,25,organic synthesis | bioactive compound | flavor
Muhibullah Mudaser,Deep Learning Image Processing,37,computer vision | image processing | machine learning
Muhammad Kabir Hassan,"Biological Control of Plant Pathogens, Mycoviruses, Fungal Transcriptomics and Proteomics, RNAi",2,phytoremediation adsorption air pollition rice | biodiversity | fungal ecology
Ado Ibrahim Yargaya,Organic Synthesis,25,organic synthesis | bioactive compound | flavor
Myint Myint Soe,conservation ecology,33,conservation ecology | ecology | animal conservation
Moe Moe Oo,"Graph Theory, Combinatorics, Discrete Mathematics, Machine learning",31,combinatorics | machine learning | graph theory
Dylan Mac Yves,"Computer Vision, Natural Language Processing",3,machine learning | natural language processing | nlp
Thanyapisit Buaprakhong,"Computer vision, NLP",3,machine learning | natural language processing | nlp
Arnatchai Techaviseschai,"Machine Learning, Anomaly Detection",3,machine learning | natural language processing | nlp
Rapepong Pitijaroonpong,Information retrieval,3,machine learning | natural language processing | nlp
Nhan Hoang Vo,"UHPC, Cement, Concrete",10,geotechnical engineering | numerical methods in geomechanics | ground improvement
Nontapath Thanakorndisth,"Composite Materials, Metallurgy, Surface Engineering, Automotive and Aerospace",36,material science | materials science | bibliometrics
sawitree saengmanee,English language teaching,14,english language teaching | language assessment | esp
Yukari Kimura,"Learner engagement, learning beyond the classroom, technology in learning, autonomy",22,educational technology | e-mobility and sustainability | learner autonomy
Nanthawirojsiri Nitikorn,Renewable Energy,16,energy policy | renewable energy | energy
Patipon Buason,"Deep Learning, Neuroscience",41,artificial intelligence | deep learning | tracking control in autonomous driving
Thawatwong Phatsak,Geotechnical engineering,10,geotechnical engineering | numerical methods in geomechanics | ground improvement
Mukanda suwannasank,Microbially induced calcite precipitation,27,biomass conversion | cement pozzolan fly ash biomass ash … | energy technology
Nonemar Gorgonia,"grammar design, multimodalities, semiotic elements, social media platforms",26,applied linguistics | corpus linguistics | teacher development
Htet Myat Aung,"Computer Vision, Machine Learning, Reinforcement Learning, Deep Learning, CNN",8,machine learning | artificial intelligence | robotics
Sangpetch Srinim,"Media Arts, Graphics Design, Creative Arts, Brand Communication and Management …",21,telecommunication | information technology adoption | strategic digital transformation
Panjapong Poobanchuen,"NLP, Large Language Model",3,machine learning | natural language processing | nlp
Atirat Meunson,Mathematics for quantum information theory,29,high energy particle physics | education | ultrafast science
Phuriwat Kasamesookphaisal,Robotics,8,machine learning | artificial intelligence | robotics
Kantima Techadisai,English Teaching,14,english language teaching | language assessment | esp
Natee Chirachongcharoen,"Robotic exoskeleton, Wearable device, Control theory, Machine learning",8,machine learning | artificial intelligence | robotics
Wongsatorn Sungsilapawech,Computer,39,database | technology acceptance | high performance computing
Saowalak Jitngam,Algebraic graphs Theory,31,combinatorics | machine learning | graph theory
SORAWIT CHAITHONG,"Machine Learning, NLP",3,machine learning | natural language processing | nlp
Yuil Tripathee,Signal processing,37,computer vision | image processing | machine learning
Suwichaya Ampaites,"Biomechanics, Finite Element Analysis",23,composite materials | finite element analysis | sandwich structures
